logAge   ,Mass,Gmag,BPmag,RPmag
7.60000,1.774000,2.2290,2.2960,2.1050
7.60000,1.799000,2.1730,2.2320,2.0620
7.60000,1.824000,2.1210,2.1740,2.0220
7.60000,1.849000,2.0690,2.1140,1.9820
7.60000,1.874000,2.0190,2.0590,1.9430
7.60000,1.899000,1.9710,2.0050,1.9060
7.60000,1.924000,1.9240,1.9530,1.8680
7.60000,1.947000,1.8830,1.9080,1.8360
7.60000,1.993000,1.8040,1.8210,1.7710
7.60000,2.038000,1.7300,1.7400,1.7100
7.60000,2.083000,1.6600,1.6630,1.6510
7.60000,2.129000,1.5940,1.5910,1.5950
7.60000,2.174000,1.5300,1.5230,1.5410
7.60000,2.219000,1.4690,1.4570,1.4880
7.60000,2.265000,1.4090,1.3920,1.4350
7.60000,2.356000,1.2940,1.2700,1.3330
7.60000,2.538000,1.0810,1.0440,1.1390
7.60000,2.720000,0.8810,0.8330,0.9540
7.60000,2.902000,0.6940,0.6370,0.7790
7.60000,3.084000,0.5190,0.4530,0.6140
7.60000,3.266000,0.3540,0.2800,0.4570
7.60000,3.447000,0.1980,0.1170,0.3090
7.60000,3.576000,0.0920,0.0060,0.2090
7.60000,3.629000,0.0490,-0.0380,0.1680
7.60000,3.812000,-0.0930,-0.1870,0.0330
7.60000,3.858000,-0.1270,-0.2230,0.0000
7.60000,3.997000,-0.2300,-0.3290,-0.0970
7.60000,4.081000,-0.2920,-0.3930,-0.1560
7.60000,4.177000,-0.3620,-0.4660,-0.2230
7.60000,4.329000,-0.4710,-0.5790,-0.3260
7.60000,4.358000,-0.4910,-0.6000,-0.3450
7.60000,4.411000,-0.5280,-0.6390,-0.3810
7.60000,4.539000,-0.6170,-0.7310,-0.4660
7.60000,4.646000,-0.6900,-0.8070,-0.5360
7.60000,4.722000,-0.7420,-0.8600,-0.5860
7.60000,4.905000,-0.8660,-0.9880,-0.7050
7.60000,4.990000,-0.9220,-1.0460,-0.7590
7.60000,5.088000,-0.9880,-1.1140,-0.8220
7.60000,5.271000,-1.1110,-1.2400,-0.9400
7.60000,5.417000,-1.2080,-1.3400,-1.0340
7.60000,5.453000,-1.2320,-1.3640,-1.0580
7.60000,5.524000,-1.2790,-1.4130,-1.1030
7.60000,5.636000,-1.3570,-1.4930,-1.1800
7.60000,5.723000,-1.4180,-1.5540,-1.2380
7.60000,5.818000,-1.4850,-1.6230,-1.3040
7.60000,5.977000,-1.5980,-1.7380,-1.4150
7.60000,6.000000,-1.6150,-1.7550,-1.4310
7.60000,6.005000,-1.6180,-1.7580,-1.4340
7.60000,6.146000,-1.7210,-1.8630,-1.5350
7.60000,6.200000,-1.7620,-1.9040,-1.5750
7.60000,6.278000,-1.8200,-1.9630,-1.6330
7.60000,6.399000,-1.9160,-2.0600,-1.7280
7.60000,6.445000,-1.9530,-2.0970,-1.7640
7.60000,6.611000,-2.0910,-2.2360,-1.9020
7.60000,6.748000,-2.2110,-2.3560,-2.0220
7.60000,6.873000,-2.3320,-2.4760,-2.1430
7.60000,6.986000,-2.4490,-2.5930,-2.2610
7.60000,6.996000,-2.4580,-2.6020,-2.2710
7.60000,7.101000,-2.5680,-2.7110,-2.3820
